anio_desde,anio_hasta,seccion,place_or_country,details,source
2014,2021,2010s,Uganda,"V-22 Ospreys , MC-130s , KC-135s and additional U.S. soldiers are sent to Uganda to continue to help African forces search for Joseph Kony . [ 32 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2014,2014,2010s,American raid in Libya,U.S. Special forces along with Federal Bureau of Investigation agents capture Ahmed Abu Khattala for his leading role in the 2012 Benghazi attack .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2014,2014,2010s,American intervention in Iraq,Hundreds of U.S. troops deployed to protect American assets in Iraq and to advise Iraqi and Kurdish fighters. [ 33 ] In August the U.S. Air Force conducted a humanitarian air drop and the U.S. Navy began a series of airstrikes against Islamic State -aligned forces throughout northern Iraq. [ 34 ] [ 35 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2015,2015,2010s,2014 American rescue mission in Syria,"The U.S. attempted to rescue James Foley and other hostages being held by ISIL . Air strikes were conducted on the ISIL military base known as "" Osama bin Laden camp"". Meanwhile, the bombings, Delta teams parachuted near an ISIL high-valued prison. The main roads were blocked to keep any target from escaping. When no hostage was found, the American troops began house to house searches. By this time, ISIL militants began arriving to the area. Heavy fighting occurred until the Americans decided to abandon the mission due to the hostages being nowhere in the area. Although the mission failed, at least 5 ISIL militants were killed, however 1 American troop was wounded. According to the reports, Jordan had a role in the operation and that one Jordanian soldier had been wounded as well. This was unconfirmed.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2017,2017,2010s,2014 hostage rescue operations in Yemen,"On November 25, U.S. Navy SEALs and Yemeni Special Forces launched an operations in Yemen in attempt to rescue eight hostages that were being held by al-Qaeda . Although the operation was successful, no American hostages were secured. In the first attempt, six Yemenis, one Saudi Arabian, and one Ethiopian were rescued. On December 4, 2014, al-Qaeda in the Arabian Peninsula (AQAP) threatened to execute the Somers if the U.S. failed to the unspecified commands. AQAP also stated that they would be executed if the U.S. attempted another rescue operation. On December 6, a second operation was launched. 40 U.S. SEALs and 30 Yemeni troops were deployed to the compound. A 10-minute fire fight occurred before the American troops could enter where the remaining hostages (Somers and Korkie) were being held. They were alive, but fatally wounded. Surgery was done in mid air when flying away from the site. Korkie died while in flight, and Somers died once landed on USS Makin Island . No American troop was killed/injured, however a Yemenis soldier was wounded.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2018,2018,2010s,,"April 30, 2015, U.S. sends ships to the Strait of Hormuz to shield vessels after Iranian seizure of a commercial vessel, MV Maersk Tigris . Iran fired shots over the bow, and seized the ship registered in the Marshall Islands , as part of a decade-long legal dispute between Iran and Maersk . [ 36 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2018,2018,2010s,,missile strikes were launched by the U.S. and allies on military targets in Damascus and near Homs in response to the Douma chemical attack against civilians in April 2018. [ 39 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2019,2019,2010s,2017 Shayrat missile strike,Tomahawk missiles launched from U.S. naval vessels in the Mediterranean hit a Syrian airbase in Homs Governorate in response to a chemical weapons attack against civilians south-west of Idlib. Seven were killed and nine wounded. [ 38 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2019,2019,2010s,Operation Sentinel,U.S. Central Command was developing a multinational maritime effort to increase surveillance of and security in key waterways in the Middle East to ensure freedom of navigation. [ 40 ],https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2020,2020,2020s,,"Response to attack on the U.S. embassy in Baghdad . The U.S. embassy in Baghdad came under siege on December 31, 2019, following U.S. retaliation for an attack by the pro-Iranian Kata'ib Hezbollah in which four service members were wounded and one civilian contractor was killed. In response, Marines and aircraft were immediately dispatched from Kuwait for defense of the embassy and overwatch. On January 2, 2020, the U.S. launched an airstrike on a convoy, killing Iranian Quds Force Major-General Qasem Soleimani and Iraqi militia leader Abu Mahdi al-Muhandis . [ 41 ] An additional 4,000 U.S. troops were mobilized to the region, including some 750 from the 82nd Airborne Division . [ 42 ] In an annual report released by the Pentagon on May 6, 2020, it cited that approximately 132 civilians have been killed in 2019 as part of US military operations in Iraq , Afghanistan , Somalia and Syria . The Department of Defense (DoD) added that no civilian casualties were reported under the US military operations in Libya and Yemen civil wars respectively. [ 43 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2021,2021,2020s,February 2021 United States airstrike in Syria,"On February 25, 2021, the United States military carried out an airstrike on a site believed to have been occupied by Iranian-backed Iraqi militias operating from across the border in eastern Syria in response to recent attacks against US and coalition forces in Iraq. [ 44 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2021,2021,2020s,,"June 27, 2021, the U.S. military conducted airstrikes on Iranian-backed militias on both sides of the Iraq–Syria border in response to drone attacks on U.S. forces and facilities in the region. [ 45 ] [ 46 ] [ 47 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2021,2021,2020s,American military intervention in Somalia (2007–present),"July 20, 2021, U.S. military airstrikes were conducted on al-Shabab militants in Somalia , the first of its kind since US troops withdrew and President Joe Biden took office in January 2021. [ 48 ] [ 49 ] On July 22, 2021, further airstrikes were conducted by the U.S. Air Force against al-Shabab militants. [ 50 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2021,2021,2020s,2021 Kabul airlift,"as part of an ongoing, multi-national effort by NATO partner countries to extract citizens and Afghan partners from the country following the 2021 fall of Kabul to the Taliban . The U.S. deployed 6,000 troops to seize control of Hamid Karzai International Airport to serve as a base of operations for the evacuation effort. [ 51 ] The DOD confirmed on August 16 that General Kenneth F. McKenzie Jr. , Commander, United States Central Command , had met Taliban leaders in Qatar to secure an agreement. The Taliban reportedly agreed to allow American evacuation flights at Kabul Airport to proceed without hindrance. [ 52 ] International airlifts of evacuees had resumed by August 17 following a temporary halt to clear the runway of civilians as the DOD confirmed the airport was open for all military flights and limited commercial flights. [ 53 ] Pentagon officials added that evacuation efforts were expected to speed up and were scheduled to continue until August 31. [ 54 ] On the evening of August 22, Lloyd Austin , United States Secretary of Defense , ordered the activation of the American Civil Reserve Air Fleet to aid in the evacuations, only the third time in history that the fleet had been activated. [ 55 ] On August 26, 2021, two suicide attacks occurred outside the gates of the Kabul airport, killing at least 170 people including 13 U.S. military personnel (11 Marines, one soldier, and one Navy corpsman ), [ 56 ] along with over 150 wounded. [ 57 ] On August 27, 2021, U.S. military forces conducted a drone strike in Nangarhar Province , Afghanistan on a presumed ""planner"" for the ISIS-K militant organization in response to the Kabul airport attack that occurred on August 26, 2021. [ 58 ] On September 6, 2021, the United States evacuated four American citizens (specifically, an Amarillo, Texas woman and her three children) from Afghanistan via an overland route, marking the first overland evacuation facilitated by the US Department of State since the military withdrawal. The Taliban was aware of the evacuation and did not make any effort to stop it. [ 59 ] [ 60 ] On September 17, 2021, the U.S. CENTCOM commander, General Frank MacKenzie , announced that an investigation by the U.S. military of the aforementioned drone strike found that it killed 10 civilians (including 7 children and a U.S. aid worker), and that the vehicle targeted was likely not a threat associated with ISIS-K. [ 61 ] [ 62 ] [ 63 ] In December 2021, in response to the errant August strike, the Pentagon stated that no U.S. military personnel involved would be disciplined. [ 64 ] [ 65 ] As of November 2021, the U.S. State Department believes as many as 14,000 U.S. legal permanent residents remain in Afghanistan. [ 66 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2021,2021,2020s,,"On October 22, 2021, a U.S. airstrike in northwestern Syria killed senior al-Qaeda leader Abdul Hamid al-Matar as part of ongoing anti-terrorism operations in the region. [ 67 ] [ 68 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2022,2022,2020s,,"On July 31, 2022 al-Qaeda leader Ayman al-Zawahiri was killed in Afghanistan in an American drone strike [ 69 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2023,2023,2020s,Operation Prosperity Guardian,"On 18 December 2023 United States Secretary of Defense Lloyd Austin announced the formation of an international maritime security force under “Operation Prosperity Guardian,” which aims to counter threats by Houthi forces against international maritime commerce following weeks of attacks against commercial vessels .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2025,2025,2020s,Operation Poseiden Archer,"Between 12 January 2024 and 6 May 2025 the United States and the United Kingdom, with support from Australia, Bahrain, Canada, Denmark, the Netherlands, and New Zealand, launched a series of cruise missile and airstrikes against the Houthi movement in Yemen in response to Houthi attacks on ships in the Red Sea. The Houthis had previously declared that their attacks were in support of Palestinians during the Gaza war; Houthi attacks on shipping were condemned by the United Nations Security Council the day before the initial strike.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2025,2025,2020s,Operation Rough Rider,"In March 2025, the United States launched a large campaign of air and naval strikes against Houthi targets in Yemen. Codenamed Operation Rough Rider, it has been the largest U.S. military operation in the Middle East of President Donald Trump's second term. The strikes began on March 15, targeting radar systems, air defenses, and ballistic and drone launch sites used by the Houthis to attack commercial ships and naval vessels in the Red Sea and Gulf of Aden.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2025,2025,2020s,Operation Midnight Hammer,"On June 22, 2025,[b] the United States Air Force and Navy attacked three nuclear facilities in Iran as part of the Iran–Israel war, under the code name Operation Midnight Hammer. Seven B-2 strategic bombers striked multiple Iranian nuclear facilities. This was the only US offensive action during the Iran-Israel War .",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2025,2025,2020s,Operation Southern Spear,"A United States military and surveillance campaign aimed at ""detecting, disrupting, and degrading transnational criminal and illicit maritime networks"".",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2025,2025,2020s,Operation Hawkeye Strike,"A retaliatory military action by the United States against the Islamic State, following the December 2025 Palmyra attack.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
2026,2026,2020s,Operation Absolute Resolve,"On 3 January 2026, the United States launched airstrikes on multiple locations across northern Venezuela, including the capital city of Caracas. President Nicolás Maduro and his wife were captured by U.S. forces and removed from the country. [ 70 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
